id,label
1,7
2,7
3,7
4,0
5,7
6,7
7,7
8,7
9,0
10,7
11,7
12,0
13,7
14,0
15,0
16,7
17,7
18,7
19,7
20,0
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,0
29,7
30,7
31,7
32,7
33,7
34,0
35,7
36,0
37,7
38,7
39,7
40,7
41,7
42,7
43,0
44,7
45,7
46,7
47,7
48,7
49,7
50,7
51,7
52,7
53,0
54,7
55,0
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,7
73,0
74,7
75,7
76,7
77,7
78,0
79,0
80,7
81,7
82,7
83,0
84,0
85,7
86,7
87,7
88,7
89,7
90,0
91,7
92,0
93,7
94,7
95,7
96,7
97,0
98,7
99,7
100,0
101,0
102,7
103,7
104,7
105,7
106,7
107,7
108,0
109,7
110,7
111,7
112,7
113,0
114,7
115,7
116,7
117,7
118,7
119,0
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,7
129,0
130,7
131,7
132,7
133,7
134,7
135,7
136,7
137,0
138,0
139,7
140,0
141,7
142,7
143,7
144,7
145,7
146,0
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,0
155,7
156,7
157,7
158,0
159,7
160,7
161,7
162,0
163,0
164,7
165,0
166,7
167,7
168,7
169,7
170,7
171,7
172,0
173,7
174,7
175,0
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,7
185,7
186,7
187,7
188,0
189,7
190,7
191,7
192,7
193,0
194,7
195,7
196,7
197,0
198,7
199,7
200,7
201,7
202,0
203,7
204,7
205,7
206,7
207,7
208,0
209,7
210,7
211,7
212,7
213,0
214,7
215,0
216,7
217,7
218,7
219,0
220,7
221,7
222,7
223,0
224,7
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,0
235,7
236,7
237,0
238,7
239,7
240,0
241,0
242,7
243,7
244,7
245,7
246,7
247,0
248,7
249,7
250,7
251,0
252,7
253,0
254,7
255,7
256,7
257,7
258,0
259,7
260,7
261,7
262,0
263,7
264,0
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,7
275,0
276,7
277,7
278,7
279,7
280,7
281,0
282,7
283,7
284,7
285,7
286,7
287,7
288,7
289,7
290,7
291,0
292,7
293,7
294,7
295,0
296,0
297,7
298,7
299,7
300,7
301,7
302,7
303,7
304,7
305,0
306,7
307,0
308,7
309,7
310,7
311,0
312,7
313,7
314,7
315,7
316,7
317,7
318,7
319,7
320,7
321,7
322,7
323,0
324,7
325,7
326,7
327,7
328,7
329,7
330,0
331,0
332,7
333,0
334,7
335,7
336,0
337,0
338,0
339,7
340,0
341,0
342,7
343,7
344,7
345,7
346,7
347,7
348,7
349,7
350,7
351,7
352,0
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,7
361,7
362,7
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,0
377,7
378,7
379,7
380,7
381,0
382,7
383,7
384,7
385,7
386,7
387,7
388,7
389,7
390,7
391,0
392,7
393,7
394,7
395,0
396,7
397,7
398,7
399,7
400,7
401,7
402,7
403,7
404,7
405,7
406,0
407,0
408,7
409,7
410,7
411,0
412,7
413,7
414,0
415,7
416,0
417,7
418,7
419,7
420,0
421,7
422,0
423,0
424,7
425,0
426,7
427,7
428,7
429,7
430,7
431,0
432,7
433,7
434,7
435,7
436,7
437,7
438,7
439,7
440,7
441,7
442,7
443,7
444,7
445,7
446,0
447,7
448,7
449,7
450,7
451,7
452,0
453,0
454,7
455,7
456,0
457,7
458,7
459,7
460,7
461,7
462,0
463,0
464,7
465,0
466,7
467,7
468,7
469,7
470,7
471,0
472,7
473,7
474,7
475,0
476,7
477,7
478,7
479,7
480,7
481,7
482,7
483,7
484,7
485,0
486,7
487,7
488,7
489,7
490,7
491,0
492,7
493,7
494,7
495,7
496,7
497,7
498,7
499,7
500,7
501,7
502,7
503,7
504,7
505,7
506,7
507,0
508,7
509,7
510,7
511,7
512,7
513,7
514,7
515,0
516,7
517,7
518,7
519,7
520,0
521,7
522,7
523,7
524,7
525,7
526,7
527,7
528,0
